Track length,Probability
0.050000,0.000000
0.150000,0.000000
0.250000,0.000000
0.350000,0.000000
0.450000,0.000000
0.550000,0.000000
0.650000,0.000000
0.750000,0.000000
0.850000,0.000000
0.950000,0.000000
1.050000,0.000000
1.150000,0.000000
1.250000,0.000000
1.350000,0.000000
1.450000,0.000000
1.550000,0.000000
1.650000,0.000000
1.750000,0.000000
1.850000,0.000000
1.950000,0.000000
2.050000,0.000000
2.150000,0.000000
2.250000,0.001029
2.350000,0.001078
2.450000,0.001130
2.550000,0.001184
2.650000,0.001241
2.750000,0.001301
2.850000,0.001363
2.950000,0.001428
3.050000,0.001496
3.150000,0.001568
3.250000,0.001642
3.350000,0.001721
3.450000,0.001804
3.550000,0.001889
3.650000,0.001980
3.750000,0.002074
3.850000,0.002173
3.950000,0.002277
4.050000,0.002386
4.150000,0.002500
4.250000,0.002619
4.350000,0.002744
4.450000,0.002875
4.550000,0.003013
4.650000,0.003157
4.750000,0.003309
4.850000,0.003467
4.950000,0.003633
5.050000,0.003809
5.150000,0.003992
5.250000,0.004184
5.350000,0.004385
5.450000,0.004596
5.550000,0.004819
5.650000,0.005052
5.750000,0.005296
5.850000,0.005552
5.950000,0.005822
6.050000,0.006104
6.150000,0.006400
6.250000,0.006711
6.350000,0.007037
6.450000,0.007380
6.550000,0.007739
6.650000,0.008115
6.750000,0.008510
6.850000,0.008925
6.950000,0.009359
7.050000,0.009813
7.150000,0.010291
7.250000,0.010789
7.350000,0.011311
7.450000,0.011859
7.550000,0.012431
7.650000,0.013029
7.750000,0.013655
7.850000,0.014308
7.950000,0.014989
8.050000,0.015702
8.150000,0.016444
8.250000,0.017219
8.350000,0.018025
8.450000,0.018865
8.550000,0.019738
8.650000,0.020645
8.750000,0.021591
8.850000,0.022573
8.950000,0.023590
9.050000,0.024647
9.150000,0.025742
9.250000,0.026879
9.350000,0.028054
9.450000,0.029274
9.550000,0.030538
9.650000,0.031844
9.750000,0.033198
9.850000,0.034599
9.950000,0.036050
10.050000,0.037552
10.150000,0.039108
10.250000,0.040719
10.350000,0.042388
10.450000,0.044118
10.550000,0.045913
10.650000,0.047778
10.750000,0.049713
10.850000,0.051727
10.950000,0.053821
11.050000,0.056006
11.150000,0.058281
11.250000,0.060659
11.350000,0.063145
11.450000,0.065747
11.550000,0.068466
11.650000,0.071316
11.750000,0.074308
11.850000,0.077452
11.950000,0.080760
12.050000,0.084244
12.150000,0.087915
12.250000,0.091785
12.350000,0.095868
12.450000,0.100175
12.550000,0.104716
12.650000,0.109500
12.750000,0.114535
12.850000,0.119824
12.950000,0.125366
13.050000,0.131157
13.150000,0.137184
13.250000,0.143429
13.350000,0.149867
13.450000,0.156460
13.550000,0.163166
13.650000,0.169927
13.750000,0.176680
13.850000,0.183349
13.950000,0.189850
14.050000,0.196088
14.150000,0.201964
14.250000,0.207372
14.350000,0.212206
14.450000,0.216357
14.550000,0.219723
14.650000,0.222205
14.750000,0.223717
14.850000,0.224185
14.950000,0.223553
15.050000,0.221782
15.150000,0.218855
15.250000,0.214778
15.350000,0.209580
15.450000,0.203312
15.550000,0.196050
15.650000,0.187887
15.750000,0.178934
15.850000,0.169319
15.950000,0.159178
16.050000,0.148655
16.150000,0.137896
16.250000,0.127046
16.350000,0.116244
16.450000,0.105620
16.550000,0.095291
16.650000,0.085362
16.750000,0.075920
16.850000,0.067035
16.950000,0.058758
17.050000,0.051127
17.150000,0.044158
17.250000,0.037857
17.350000,0.032213
17.450000,0.027205
17.550000,0.022803
17.650000,0.018968
17.750000,0.015659
17.850000,0.012829
17.950000,0.010430
18.050000,0.008414
18.150000,0.006736
18.250000,0.005351
18.350000,0.004218
18.450000,0.003299
18.550000,0.002560
18.650000,0.001972
18.750000,0.001507
18.850000,0.001142
18.950000,0.000859
19.050000,0.000641
19.150000,0.000475
19.250000,0.000349
19.350000,0.000254
19.450000,0.000184
19.550000,0.000132
19.650000,0.000094
19.750000,0.000067
19.850000,0.000047
19.950000,0.000033
