Track length,Probability
0.050000,0.000000
0.150000,0.000000
0.250000,0.000000
0.350000,0.000000
0.450000,0.000000
0.550000,0.000000
0.650000,0.000000
0.750000,0.000000
0.850000,0.000000
0.950000,0.000000
1.050000,0.000000
1.150000,0.000000
1.250000,0.000000
1.350000,0.000000
1.450000,0.000000
1.550000,0.000000
1.650000,0.000000
1.750000,0.000000
1.850000,0.000000
1.950000,0.000000
2.050000,0.000000
2.150000,0.000000
2.250000,0.000715
2.350000,0.000750
2.450000,0.000787
2.550000,0.000826
2.650000,0.000867
2.750000,0.000910
2.850000,0.000955
2.950000,0.001002
3.050000,0.001052
3.150000,0.001105
3.250000,0.001160
3.350000,0.001218
3.450000,0.001279
3.550000,0.001343
3.650000,0.001410
3.750000,0.001481
3.850000,0.001555
3.950000,0.001633
4.050000,0.001718
4.150000,0.001805
4.250000,0.001897
4.350000,0.001993
4.450000,0.002094
4.550000,0.002201
4.650000,0.002313
4.750000,0.002431
4.850000,0.002555
4.950000,0.002686
5.050000,0.002823
5.150000,0.002967
5.250000,0.003119
5.350000,0.003282
5.450000,0.003452
5.550000,0.003629
5.650000,0.003817
5.750000,0.004014
5.850000,0.004221
5.950000,0.004440
6.050000,0.004670
6.150000,0.004911
6.250000,0.005166
6.350000,0.005433
6.450000,0.005719
6.550000,0.006016
6.650000,0.006329
6.750000,0.006658
6.850000,0.007004
6.950000,0.007367
7.050000,0.007750
7.150000,0.008151
7.250000,0.008573
7.350000,0.009019
7.450000,0.009485
7.550000,0.009973
7.650000,0.010486
7.750000,0.011023
7.850000,0.011588
7.950000,0.012178
8.050000,0.012795
8.150000,0.013440
8.250000,0.014117
8.350000,0.014821
8.450000,0.015556
8.550000,0.016321
8.650000,0.017120
8.750000,0.017949
8.850000,0.018811
8.950000,0.019707
9.050000,0.020634
9.150000,0.021594
9.250000,0.022590
9.350000,0.023616
9.450000,0.024676
9.550000,0.025772
9.650000,0.026897
9.750000,0.028060
9.850000,0.029252
9.950000,0.030482
10.050000,0.031746
10.150000,0.033042
10.250000,0.034377
10.350000,0.035750
10.450000,0.037162
10.550000,0.038612
10.650000,0.040111
10.750000,0.041663
10.850000,0.043264
10.950000,0.044924
11.050000,0.046653
11.150000,0.048455
11.250000,0.050343
11.350000,0.052324
11.450000,0.054410
11.550000,0.056605
11.650000,0.058926
11.750000,0.061392
11.850000,0.064018
11.950000,0.066822
12.050000,0.069822
12.150000,0.073040
12.250000,0.076496
12.350000,0.080211
12.450000,0.084207
12.550000,0.088504
12.650000,0.093124
12.750000,0.098084
12.850000,0.103399
12.950000,0.109082
13.050000,0.115137
13.150000,0.121566
13.250000,0.128361
13.350000,0.135505
13.450000,0.142971
13.550000,0.150721
13.650000,0.158706
13.750000,0.166859
13.850000,0.175107
13.950000,0.183357
14.050000,0.191507
14.150000,0.199445
14.250000,0.207046
14.350000,0.214181
14.450000,0.220717
14.550000,0.226519
14.650000,0.231457
14.750000,0.235407
14.850000,0.238258
14.950000,0.239914
15.050000,0.240300
15.150000,0.239361
15.250000,0.237071
15.350000,0.233427
15.450000,0.228458
15.550000,0.222218
15.650000,0.214789
15.750000,0.206276
15.850000,0.196807
15.950000,0.186528
16.050000,0.175595
16.150000,0.164176
16.250000,0.152439
16.350000,0.140553
16.450000,0.128680
16.550000,0.116972
16.650000,0.105566
16.750000,0.094582
16.850000,0.084125
16.950000,0.074274
17.050000,0.065093
17.150000,0.056624
17.250000,0.048889
17.350000,0.041895
17.450000,0.035631
17.550000,0.030075
17.650000,0.025192
17.750000,0.020942
17.850000,0.017275
17.950000,0.014142
18.050000,0.011488
18.150000,0.009260
18.250000,0.007406
18.350000,0.005878
18.450000,0.004629
18.550000,0.003617
18.650000,0.002804
18.750000,0.002157
18.850000,0.001647
18.950000,0.001247
19.050000,0.000937
19.150000,0.000699
19.250000,0.000517
19.350000,0.000379
19.450000,0.000276
19.550000,0.000200
19.650000,0.000143
19.750000,0.000102
19.850000,0.000072
19.950000,0.000050
